정당,등록시 정당명,대표자,등록연월일,말소연월일,사유,존속기간,비고,위키피디아,네이버 기관단체,한국민족문화대백과사전,나무위키,두산백과
민중민주당,,유한열,1986.9.5,1987.5.2,자진해산,8월,,,,,,
제3세대당,,한영수,1987.3.13,1988.4.29,등록취소(성립요건 흠결),1년2월,,,,,,
통일민주당,,김영삼,1987.5.6,1990.2.15,"민주정의당, 신민주공화당과 신설합당",2년9월,신설합당 (민주자유당),,,,,
일체민주당,,김선적,1987.6.19,1988.4.18,등록취소(성립요건 흠결),10월,,,,,,
한주의통일한국당,,신정일,1987.11.5,1988.4.29,등록취소(성립요건 흠결),6월,,,,,,
신민주공화당,,김종필,1987.11.11,1990.2.15,"민주정의당, 통일민주당과 신설합당",2년3월,,,,,,
신민주연합당,평화민주당,김대중,1987.11.13,1991.9.16,명칭변경 후 민주당과 신설합당,3년10월,명칭변경 (평화민주당→신민주연합당),,,,,
한국민주당,,정대영,1988.2.10,1988.4.18,등록취소(성립요건 흠결),2월,,,,,,
우리정의당,정의평화당,김상철,1988.3.11,1988.4.29,등록취소(성립요건 흠결),2월,명칭변경 (정의평화당→우리정의당),,,,,
민중의당,,정태윤,1988.3.11,1988.4.29,등록취소(성립요건 흠결),2월,,,,,,
한겨레민주당,,예춘호,1988.4.6,1991.3.13,등록취소(성립요건 흠결),2년11월,,,,,,
신한국당,민주자유당,노태우,1990.2.15,1997.11.24,명칭변경 후 민주당과 신설합당,7년9월,명칭변경 (민주자유당→신한국당) 신설합당(한나라당),https://ko.wikipedia.org/wiki/%EB%AF%BC%EC%A3%BC%EC%9E%90%EC%9C%A0%EB%8B%B9,,,,
민주당,,이기택,1990.6.18,1991.9.16,평화민주당과 신설합당,1년3월,신설합당 (민주당),,,,,
공명민주당,,고태만,1990.8.3,1992.3.30,등록취소(성립요건 흠결),1년8월,,,,,,
민중당,,이우재,1990.11.19,1992.3.30,등록취소(성립요건 흠결),1년4월,,,,,,
민주당,,김대중,1991.9.16,1995.12.21,개혁신당과 신설합당,4년3월,신설합당 (통합민주당),,,,,
통일국민당,,정주영,1992.2.10,1994.7.8,신정치개혁당과 신설합당,2년5월,신설합당 (신민당),,,,,
신정치개혁당,,박찬종,1992.3.4,1994.7.8,통일국민당과 신설합당,2년4월,신설합당 (신민당),,,,,
통일한국당,진리평화당,허경영,1992.11.6,2004.2.13,자진해산,11년3월,명칭변경 (진리평화당→신민주당→통일한국당),,,,,
친민당,,권정수,1992.11.19,1996.4.13,등록취소 (성립요건 흠결),3년5월,,,,,,
대한정의당,,이병호,1992.11.19,1994.2.15,자진해산,1년3월,,,,,,
새한국당,,이종찬,1992.11.19,1995.3.7,민주당에 흡수합당,2년4월,흡수합당 (민주당),,,,,
대한민주당,,유준하,1993.10.20,1996.4.13,등록취소 (성립요건 흠결),2년6월,,,,,,
신민당,,김동길,1994.7.8,1995.5.31,자유민주연합과 신설합당,10월,,,,,,
기독성민당,정명당,권천문,1995.1.13,2001.3.19,등록취소 (성립요건 흠결),6년2월,명칭변경 (기독성민당),,,,,
자유민주연합,,김종필,1995.4.3,1995.5.31,신민당과 신설합당,2월,신민당과 신설합당 소멸,,,,,
자유민주연합,,김학원,1995.5.31,2006.3.10,자진해산,10년9월,신민당과 신설합당 등록,,,,,
무정파전국연합,신민당,임춘원,1995.6.27,1997.5.6,등록취소 (성립요건 흠결),1년10월,명칭변경 (신민당→무정파전국연합),,,,,
새정치국민회의,국민회의,김대중,1995.9.11,2000.1.24,새천년민주당에 흡수합당,4년4월,,,,,,
개혁신당,,"장을병, 홍성우",1995.11.29,1995.12.21,민주당과 신설합당,22일,신설합당 (통합민주당),,,,,
민주당,통합민주당,이기택,1995.12.21,1997.11.24,명칭변경후 민주자유당과 신설합당,1년11월,명칭변경 (통합민주당→민주당)신설합당(한나라당),,,,,
무당파국민연합,,한병채,1996.3.18,1996.4.13,등록취소 (성립요건 흠결),26일,,,,,,
21세기한독당,,이시찬,1996.3.25,1996.4.13,등록취소 (성립요건 흠결),19일,,,,,,
공화당,,허경영,1997.9.4,2000.4.14,등록취소 (성립요건 흠결),2년7월,,,,,,
민주국민연합,,이인수,1997.9.4,1998.5.21,등록취소 (성립요건 흠결),9월,,,,,,
국민신당,,이만섭,1997.11.10,1998.9.24,자진해산,10월,,,,,,
바른나라정치연합,,김한식,1997.11.19,1999.2.12,자진해산,1년3월,,,,,,
한나라당,,조 순,1997.11.24,,,,명칭변경(한나라당→새누리당)민주당과 민주자유당의 신설합당으로 등록,,,,,
건설국민승리21,,권영길,1997.11.24,1999.11.15,자진해산,2년,,,,,,
애국번영당,,손정수,1998.6.4,2004.4.20,등록취소 (선거 미참여),5년11월,,,,,,
청년진보당,,최 혁,1998.12.9,2000.4.14,등록취소 (선거참여 득표미달),1년4월,,,,,,
민주당,새천년민주당,김대중,2000.1.20,2007.6.29,중도통합민주당으로 신설합당,7년5월,명칭변경 (새천년민주당→민주당),,,,,
희망의한국신당,,김용환,2000.2.21,2001.10.20,자진해산,1년8월,,https://ko.wikipedia.org/wiki/%ED%9D%AC%EB%A7%9D%EC%9D%98_%ED%95%9C%EA%B5%AD%EC%8B%A0%EB%8B%B9,,,,
민주노동당,,권영길,2000.3.6,2000.4.14,등록취소 (선거참여 득표미달),1월,,,,,,
민주국민당,,조 순,2000.3.14,2004.4.20,등록취소 (선거참여 득표미달),4년1월,,https://ko.wikipedia.org/wiki/%EB%AF%BC%EC%A3%BC%EA%B5%AD%EB%AF%BC%EB%8B%B9_(2000%EB%85%84),,,,
새로운신당,,안동옥,2000.3.28,2004.4.20,등록취소 (선거 미참여),4년1월,,,,,,
민주노동당,,권영길,2000.5.24,2011.12.13,통합진보당으로 신설합당,11년6월,,,,,,
사회당,청년진보당,최 혁,2000.10.2,2004.4.20,등록취소 (선거참여 득표미달),3년6월,명칭변경 (청년진보당→사회당),,,,,
민주공화당,,허경영,2000.10.24,2004.4.20,등록취소 (선거참여 득표미달),3년6월,,,,,,
한국녹색당,,서명택,2001.1.15,2004.9.13,등록취소 (성립요건 흠결),3년8월,,,,,,
국민행동,,박병원,2001.6.14,2004.9.9,자진해산,3년3월,,,,,,
노년권익보호당,,이달형,2002.5.20,2004.4.20,등록취소 (선거참여 득표미달),1년11월,,,,,,
한국미래연합,,박근혜,2002.5.20,2002.11.23,자진해산,6월,,,,,,
녹색평화당,,박창화,2002.5.20,04. 3. 3,한국사회민주당과 신설합당,1년9월,신설합당 (녹색사민당),,,,,
대한통일당,,안동옥,2002.8.5,2004.9.13,등록취소 (성립요건 흠결),2년1월,,,,,,
구국총연합,민주광명당,명승희,2002.10.11,2004.4.20,등록취소 (선거참여 득표미달),1년6월,명칭변경(민주광명당→구국총연합),,,,,
복지민주통일당,,김허남,2002.10.21,2004.9.13,등록취소 (성립요건 흠결),1년11월,,,,,,
국민통합,,정몽준,2002.11.11,2004.9.13,등록취소 (성립요건 흠결),1년10월,,,,,,
